onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
34.730	0.134	SACC	-453.8	3.2	36.3	-25.7	27.617	515.062	147.753	210.130
34.864	0.134	FIXA	36.3	-25.7	36.0	-22.2	0.201	15.583	1.360	2.827
34.997	0.209	PURS	36.7	-22.2	44.5	-22.6	0.438	18.323	4.083	4.964
35.206	0.067	FIXA	42.2	-23.0	43.5	-23.0	0.071	15.694	5.788	6.042
35.273	0.017	ISAC	44.1	-23.4	44.3	-35.7	0.691	82.835	43.810	43.810
35.289	0.025	ILPS	44.4	-35.7	44.6	-35.5	0.017	2.045	0.200	0.748
35.314	0.033	FIXA	43.5	-40.1	43.1	-43.4	0.190	31.680	11.429	13.635
35.348	0.175	SACC	43.8	-43.4	375.7	31.2	19.136	273.072	120.566	120.954
35.523	0.125	FIXA	375.7	31.2	369.6	26.8	0.424	19.641	3.933	5.827
35.648	0.108	SACC	368.6	25.5	17.3	-42.5	20.130	400.682	241.665	189.155
35.757	0.200	FIXA	17.3	-42.5	25.7	-42.0	0.477	10.819	1.878	2.981
35.957	0.092	SACC	25.8	-42.3	326.6	-12.7	17.004	307.872	203.049	191.787
36.049	0.017	LPSO	326.6	-13.3	330.6	-13.3	0.221	26.513	15.128	15.128
36.065	0.175	FIXA	330.6	-13.3	325.6	-8.5	0.386	12.184	1.821	3.053
36.241	0.092	SACC	325.4	-8.7	40.6	-33.1	16.080	311.695	238.002	182.189
36.332	0.025	LPSO	40.3	-33.1	41.8	-30.2	0.181	13.924	9.708	8.539
36.357	0.567	FIXA	42.1	-29.2	40.9	-32.0	0.168	23.680	1.420	2.205
36.925	0.050	ISAC	40.8	-30.5	39.2	-27.0	0.214	24.667	4.071	7.588
36.975	0.033	FIXA	39.1	-27.0	39.3	-27.4	0.022	1.410	1.155	0.968
37.008	0.033	ISAC	39.4	-27.4	39.4	-32.0	0.262	16.346	7.856	8.015
37.042	0.025	ILPS	39.4	-32.0	40.6	-31.0	0.088	8.092	3.417	3.836
37.067	0.033	FIXA	40.9	-30.8	41.1	-30.8	0.007	2.686	0.404	0.874
37.100	0.025	ISAC	41.0	-30.8	39.2	-35.3	0.272	30.475	2.357	10.981
37.125	0.142	FIXA	39.2	-35.3	36.9	-36.7	0.152	3.907	1.437	1.379
37.267	0.192	PURS	37.1	-36.7	42.0	-45.2	0.554	28.185	3.237	4.224
37.459	0.108	SACC	43.7	-45.2	344.7	-11.2	17.041	231.437	188.506	162.928
37.567	0.150	FIXA	344.7	-11.2	346.9	-9.5	0.156	21.572	2.257	4.780
37.718	0.092	SACC	345.2	-9.5	11.8	-26.2	18.777	339.832	208.839	208.527
37.809	0.259	FIXA	11.8	-25.5	18.0	-26.1	0.352	11.826	1.600	2.309
38.068	0.117	SACC	18.0	-26.0	278.8	-23.6	14.670	243.826	149.097	128.689
38.185	0.025	LPSO	278.8	-24.0	276.4	-25.3	0.153	15.162	3.761	7.093
38.210	0.117	FIXA	276.4	-25.3	272.2	-22.7	0.278	13.178	2.656	3.402
38.327	0.100	SACC	272.1	-23.0	19.7	-26.7	14.196	333.584	165.335	147.169
38.427	0.025	HPSO	19.7	-26.7	22.4	-26.5	0.149	17.682	0.226	5.969
38.452	0.267	FIXA	22.4	-25.7	21.6	-22.7	0.172	5.664	0.940	1.598
38.719	0.167	SACC	21.6	-23.1	474.9	1.3	25.532	447.587	210.903	184.097
38.886	0.025	HPSO	474.9	1.3	473.8	11.3	0.568	68.008	0.000	22.669
38.911	0.125	FIXA	471.8	19.7	460.7	13.7	0.710	57.945	7.903	12.531
39.036	0.125	SACC	460.7	14.0	16.2	-26.4	25.104	387.804	219.737	206.377
39.161	0.017	HPSO	16.2	-26.4	16.6	-29.9	0.197	23.646	11.823	11.823
39.178	0.267	FIXA	16.6	-29.9	20.6	-28.9	0.232	10.913	1.119	1.950
39.445	0.159	SACC	20.9	-28.9	429.8	47.7	23.400	254.219	191.512	154.288
39.603	0.025	HPSO	432.5	47.7	456.0	47.8	1.321	115.293	42.981	58.853
39.629	0.134	FIXA	456.0	47.8	450.4	41.8	0.461	32.790	6.640	10.068
39.762	0.108	SACC	449.4	41.7	11.9	-43.7	25.076	400.945	261.002	236.541
39.871	0.025	LPSO	11.9	-42.2	13.5	-42.2	0.090	10.835	10.492	7.109
39.896	0.317	FIXA	19.0	-39.8	18.0	-51.1	0.635	44.301	3.301	6.025
40.213	0.117	SACC	20.2	-51.1	334.7	-147.7	18.505	267.008	178.394	166.672
40.329	0.150	FIXA	335.8	-147.7	332.9	-144.7	0.232	16.074	1.254	3.474
40.480	0.092	SACC	332.9	-143.6	11.3	-16.3	19.456	418.240	287.924	218.151
40.571	0.025	LPSO	11.3	-16.4	15.1	-17.8	0.225	25.118	9.640	11.799
40.596	0.267	FIXA	15.6	-17.8	18.7	-22.0	0.294	6.517	2.285	2.346
40.864	0.217	SACC	16.9	-22.0	-416.2	-56.3	24.437	292.197	146.802	136.403
41.080	0.175	FIXA	-416.2	-57.1	-404.8	-53.3	0.680	21.472	4.293	5.580
41.256	0.125	SACC	-402.6	-53.3	51.4	-36.2	25.552	511.634	206.760	208.710
41.381	0.259	FIXA	52.5	-36.2	51.5	-32.0	0.242	16.536	1.329	2.563
41.640	0.234	PURS	52.1	-32.1	9.8	-74.9	3.382	151.982	5.670	18.873
41.998	0.058	SACC	-184.5	-80.1	-24.1	-135.7	7.271	277.022	201.084	197.117
42.057	0.017	LPSO	-21.0	-135.7	-16.8	-139.3	0.310	37.183	29.073	29.073
42.073	0.225	PURS	-16.4	-139.3	4.0	-120.5	1.564	61.757	8.760	15.390
42.299	0.033	ISAC	3.3	-121.7	6.6	-104.1	1.008	72.205	29.575	32.839
42.332	0.017	ILPS	6.6	-104.1	11.9	-108.2	0.377	45.192	22.596	22.596
42.349	0.259	PURS	11.9	-108.2	8.0	-87.2	1.205	35.975	2.942	7.104
42.608	0.042	ISAC	12.0	-87.2	58.6	-62.7	2.963	165.728	50.056	84.300
42.649	0.025	ILPS	57.8	-62.7	57.5	-57.2	0.314	31.086	6.760	14.551
42.674	0.033	FIXA	57.5	-57.2	56.8	-57.0	0.040	4.669	0.467	1.401
42.708	0.242	PURS	56.6	-57.0	55.8	-42.0	0.844	21.306	1.693	5.336
42.950	0.025	ISAC	57.4	-40.6	55.2	-53.7	0.747	89.502	14.308	34.603
42.975	0.100	FIXA	55.2	-53.7	54.6	-48.4	0.300	21.666	1.985	3.311
43.075	0.083	SACC	54.2	-47.6	1.0	-131.5	5.589	291.401	55.075	96.910
43.158	0.050	FIXA	1.0	-131.5	2.8	-131.2	0.105	8.467	1.122	2.460
